기준_날짜,집계_기준,기준_시간대,시작_대여소_ID,시작_대여소명,종료_대여소_ID,종료_대여소명,전체_건수,전체_이용_분,전체_이용_거리
20250607,도착시간,1620,ST-1990,영등포본동_020_2,ST-3283,신길3동_026_2,1,10.0,1286.0
20250607,출발시간,1055,ST-550,잠실3동_028_2,ST-1729,삼전동_044_1,1,16.0,1651.0
20250607,출발시간,1935,ST-2547,자양2동_003_1,ST-3070,풍납1동_002_2,1,31.0,5320.0
20250607,출발시간,825,ST-932,흑석동_014_1,ST-2356,흑석동_024_1,1,2.0,537.0
20250607,출발시간,1050,ST-1325,남영동_003_1,ST-2177,한강로동_012_1,1,14.0,2150.0
20250607,도착시간,2200,ST-1833,명일2동_003_2,ST-1058,고덕1동_005_1,2,8.0,1175.0
20250607,도착시간,905,ST-2050,공항동_060_1,ST-1064,발산1동_056_1,1,5.0,561.0
20250607,출발시간,450,ST-3286,전농1동_003_2,ST-274,용신동_014_1,1,11.0,1030.0
20250607,도착시간,900,ST-1263,군자동_035_1,ST-1263,군자동_035_1,1,8.0,348.0
20250607,출발시간,1735,ST-912,면목본동_062_1,ST-2791,월계3동_001_1,1,31.0,6091.0
20250607,출발시간,1025,ST-2978,염리동_021_1,ST-2154,용강동_040_1,1,8.0,951.0
20250607,도착시간,1155,ST-1118,"중계2,3동_047_1",ST-2085,"중계2,3동_011_1",1,5.0,395.0
20250607,도착시간,1450,ST-1556,서초2동_002_1,ST-2668,양재2동_026_1,1,80.0,4018.0
20250607,출발시간,2015,ST-7,서교동_037_1,ST-297,여의동_006_4,2,97.0,12369.0
20250607,출발시간,1125,ST-2740,성내1동_002_1,ST-892,방이1동_009_1,1,14.0,2851.0
20250607,도착시간,2040,ST-2252,신사1동_032_1,ST-2264,역촌동_068_1,1,11.0,1260.0
20250607,출발시간,1750,ST-1224,구로3동_037_1,ST-936,구로3동_034_2,1,5.0,930.0
20250607,도착시간,2115,ST-2270,휘경2동_022_1,ST-269,제기동_025_1,2,90.0,7659.0
20250607,출발시간,1255,ST-2592,오륜동_002_3,ST-897,가락2동_008_1,1,20.0,3470.0
20250607,출발시간,1250,ST-2817,대림1동_015_1,ST-2823,신길6동_018_1,1,,
20250607,출발시간,1605,ST-3047,신정1동_006_1,ST-3331,문래동_022_1,1,12.0,2395.0
20250607,출발시간,1340,ST-3303,신도림동_067_1,ST-3163,목1동_037_2,1,14.0,2495.0
20250607,도착시간,1035,ST-1999,목2동_006_1,ST-426,당산2동_052_1,1,38.0,4397.0
20250607,도착시간,1245,ST-2832,발산1동_071_1,ST-2047,가양1동_016_6,1,9.0,1247.0
20250607,도착시간,1700,ST-2905,망원1동_005_1,ST-455,응암1동_023_1,1,37.0,6393.0
20250607,도착시간,805,ST-2037,가양1동_014_2,ST-85,성산2동_076_3,1,36.0,7535.0
20250607,출발시간,1610,ST-99,자양3동_036_1,ST-1344,한남동_030_1,2,88.0,19176.0
20250607,출발시간,1845,ST-3326,성수2가3동_007_2,ST-382,군자동_014_5,1,14.0,2261.0
20250607,도착시간,2245,ST-2492,가양1동_003_2,ST-2040,가양1동_012_8,1,8.0,1613.0
20250607,도착시간,1550,ST-1957,오류2동_047_1,ST-1239,오류2동_018_1,1,3.0,760.0
20250607,도착시간,2200,ST-2899,여의동_006_2,ST-63,여의동_060_1,2,12.0,1240.0
20250607,출발시간,2140,ST-366,옥수동_045_1,ST-1195,응봉동_003_1,1,6.0,2066.0
20250607,출발시간,905,ST-451,진관동_062_1,ST-476,진관동_005_1,1,14.0,2130.0
20250607,도착시간,150,ST-1375,상봉2동_014_2,ST-1452,면목7동_013_1,1,36.0,1874.0
20250607,출발시간,1905,ST-2363,사당1동_032_1,ST-2363,사당1동_032_1,1,57.0,4956.0
20250607,도착시간,1900,ST-3239,여의동_006_8,ST-704,미성동_025_1,1,109.0,22711.0
20250607,출발시간,1430,ST-417,문래동_057_1,ST-1650,영등포동_023_1,1,15.0,1487.0
20250607,도착시간,20,ST-1776,회현동_004_1,ST-439,남영동_009_1,1,9.0,1574.0
20250607,도착시간,815,ST-589,"면목3,8동_044_1",ST-2904,면목5동_030_4,1,15.0,2207.0
20250607,출발시간,2150,ST-735,공릉1동_016_1,ST-2080,공릉2동_044_1,1,7.0,1277.0
20250607,출발시간,1645,ST-73,여의동_010_1,ST-73,여의동_010_1,2,113.0,1690.0
20250607,도착시간,945,ST-892,방이1동_009_1,ST-2577,방이1동_021_2,1,3.0,950.0
20250607,도착시간,555,ST-1859,석촌동_017_1,ST-1866,석촌동_018_1,1,5.0,867.0
20250607,도착시간,635,ST-343,신수동_047_1,ST-2530,서강동_052_1,1,3.0,617.0
20250607,출발시간,1500,ST-1818,혜화동_032_1,ST-174,"종로1,2,3,4가동_001_3",1,5.0,1358.0
20250607,도착시간,1355,ST-213,공덕동_013_1,ST-213,공덕동_013_1,1,67.0,620.0
20250607,도착시간,2240,ST-1084,문정1동_003_1,ST-895,거여1동_021_1,1,14.0,2185.0
20250607,도착시간,2200,ST-2379,서원동_023_1,ST-883,조원동_015_4,1,19.0,2844.0
20250607,도착시간,1935,ST-1263,군자동_035_1,ST-1194,군자동_003_1,1,62.0,832.0
20250607,도착시간,500,ST-1353,영등포본동_037_1,ST-1974,도림동_002_2,1,7.0,1173.0
20250607,출발시간,2210,ST-2678,대치2동_051_1,ST-1560,개포2동_019_1,1,17.0,2813.0
20250607,출발시간,1050,ST-253,군자동_012_1,ST-382,군자동_014_5,1,3.0,745.0
20250607,출발시간,1705,ST-1017,목5동_008_1,ST-1017,목5동_008_1,1,47.0,1186.0
20250607,도착시간,1605,ST-873,구로5동_016_2,ST-1219,구로1동_002_1,1,51.0,3450.0
20250607,도착시간,1525,ST-2018,염창동_061_2,ST-421,양평2동_002_1,2,64.0,6468.0
20250607,도착시간,1830,ST-3110,"중계2,3동_030_1",ST-2085,"중계2,3동_011_1",1,9.0,1210.0
20250607,도착시간,1410,ST-2693,명동_001_22,ST-2625,광희동_006_1,1,15.0,1814.0
20250607,출발시간,625,ST-1210,길음1동_057_1,ST-1212,길음1동_065_1,1,,
20250607,도착시간,2010,ST-1807,"종로1,2,3,4가동_007_1",ST-435,한강로동_015_1,1,60.0,7620.0
